,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
44,0,4,0,0,0,1,5,1,3,3,0,0,24,0,0,0,0,14,10,10,0,1,0,0,1,10,8,1,1,1,0,2,0,0,0,6,14,0,0,0,0,1,0,0,49,23,0,0,0,0,0,1,1,2,21,6,8,1,3,0,1,3,0,0,0,0,0,6,0,0,0,12,2,2,0,0,0,16,11
45,2,16,0,0,0,0,1,0,11,2,0,0,3,2,2,0,0,10,25,10,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,34,46,0,0,0,0,0,0,0,37,44,0,0,0,0,2,0,0,1,5,4,0,2,2,0,0,1,0,0,3,0,0,0,1,0,0,14,1,0,0,0,0,20,27
46,0,0,0,0,0,0,0,0,0,0,6,2,0,7,64,16,21,0,0,0,0,1,0,1,0,0,0,5,0,0,1,0,0,10,14,0,0,0,0,1,1,0,0,0,2,0,60,31,46,71,2,1,0,0,0,0,0,0,0,14,9,10,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,1,0,1,2,28,7,16,0,0,14,0,2,0,0,0,0,0,1,1,4,0,0,0,18,20,0,0,0,0,0,0,0,0,0,0,0,18,103,120,29,0,0,0,0,0,0,1,0,0,8,7,9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,6,0,0,3,37,14,10,0,1,0,1,0,0,0,7,1,0,5,0,3,0,0,0,54,31,0,0,0,0,0,0,0,0,0,0,0,50,178,101,53,0,0,0,1,0,3,0,0,9,15,12,13,0,0,0,13,0,0,0,0,1,0,2,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,1,1,0,1,52,8,22,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,37,41,35,121,0,0,0,0,0,0,2,0,1,10,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4,2,0,0,13,0,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,20,17,0,0,0,1,0,0,0,0,0,36,20,0,8,0,0,3,0,1,1,0,0,0,2,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0
51,17,5,0,0,16,0,6,22,3,1,0,0,0,1,0,0,0,1,2,0,0,0,17,36,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,16,28,0,0,0,0,0,0,0,0,0,26,49,6,13,0,0,1,1,2,1,0,3,0,1,10,0,1,0,0,0,0,1,1,0,0,0,0,0,0
52,3,3,0,0,0,0,1,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,5,0,0,0,1,2,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,18,8,0,1,8,24,6,1,1,1,0,0,18,6,2,0,0,0,0,6,3,1,0,0,0,0,5
53,10,0,0,0,19,0,4,6,0,1,1,0,0,0,0,0,0,1,2,1,0,0,19,22,1,0,0,2,15,1,0,0,0,1,0,0,0,0,0,2,5,0,1,0,1,1,6,0,0,0,5,15,13,30,0,1,4,8,12,1,2,2,0,0,20,1,2,0,0,1,0,4,1,12,0,2,0,0,8
54,3,0,0,0,0,3,4,2,0,1,5,1,10,0,0,0,0,0,5,5,1,0,0,0,13,34,14,4,5,2,1,1,7,2,0,1,11,0,0,0,0,3,3,3,27,11,0,0,1,0,0,0,0,1,67,46,13,1,5,0,1,0,2,0,8,2,2,2,4,0,0,14,6,1,0,0,0,1,2
55,1,2,0,0,0,3,0,1,1,0,3,0,16,1,3,2,0,5,8,17,0,1,0,0,14,18,9,24,8,21,0,1,0,0,0,0,2,0,0,0,2,4,1,13,8,4,0,0,0,1,0,0,2,1,39,46,21,3,7,0,3,1,5,1,5,3,1,1,2,0,0,23,6,4,0,0,0,7,2
