Origen,Destino,Distancia_km,Desnivel,Consumo_Wh
10.0,3.0,6.4191,26.0,89.25784999999999
10.0,4.0,6.1722,43.0,87.6247
10.0,5.0,6.753100000000001,11.0,92.26685
10.0,6.0,7.2599,31.0,101.10865
10.0,7.0,7.6536,53.0,108.6236
10.0,8.0,9.0818,35.0,126.1043
10.0,9.0,3.0057,0.0,40.576950000000004
10.0,11.0,13.547799999999999,15.0,184.3953
10.0,12.0,13.5278,12.0,183.82529999999997
10.0,13.0,14.5311,15.0,197.66985
10.0,14.0,15.046899999999999,7.0,203.83315
10.0,15.0,6.0804,23.0,84.3854
10.0,16.0,5.3553999999999995,24.0,74.6979
10.0,17.0,9.496,1.0,128.296
10.0,18.0,8.370899999999999,1.0,113.10714999999998
10.0,19.0,2.5768,17.0,36.4868
10.0,20.0,3.7415,48.0,55.310249999999996
10.0,21.0,3.7843,0.0,51.08805
10.0,22.0,2.2745,-2.0,30.505750000000003
10.0,23.0,3.7691,37.0,54.58285
10.0,24.0,9.775,36.0,135.5625
10.0,25.0,4.8533,40.0,69.51955
10.0,26.0,5.0603,47.0,73.01405
10.0,27.0,5.2638,19.0,72.96130000000001
10.0,28.0,4.6468,15.0,64.23179999999999
10.0,29.0,7.7257,29.0,107.19695
10.0,30.0,7.9906999999999995,-1.0,107.77445
10.0,31.0,7.0876,16.0,97.2826
10.0,32.0,6.4437,43.0,91.28994999999999
10.0,33.0,9.0306,44.0,126.3131
10.0,34.0,9.7665,2.0,132.04775
10.0,35.0,10.444,17.0,142.694
10.0,36.0,5.1856,14.0,71.4056
10.0,37.0,12.6766,17.0,172.8341
10.0,38.0,4.861,29.0,68.5235
10.0,39.0,6.5098,15.0,89.3823
11.0,0.0,8.1382,10.0,110.86569999999999
11.0,1.0,10.429,-24.0,138.3915
11.0,2.0,3.4589000000000003,-20.0,44.695150000000005
11.0,3.0,11.851700000000001,11.0,161.09795
11.0,4.0,10.8847,28.0,149.74345000000002
11.0,5.0,7.3713999999999995,-4.0,99.11389999999999
11.0,6.0,9.8132,16.0,134.0782
11.0,7.0,6.8454,38.0,96.21289999999999
11.0,8.0,9.5205,20.0,130.52675
11.0,9.0,11.6965,-15.0,156.40275
11.0,10.0,13.2869,-15.0,177.87314999999998
11.0,12.0,1.1399000000000001,-3.0,15.088650000000001
11.0,13.0,2.3394,0.0,31.581899999999997
11.0,14.0,2.398,-8.0,31.573000000000004
11.0,15.0,14.2769,8.0,193.53815
11.0,16.0,13.5519,9.0,183.85065
11.0,17.0,4.2752,-14.0,56.3152
11.0,18.0,5.5578,-14.0,73.6303
11.0,19.0,12.7977,2.0,172.96895
11.0,20.0,12.414399999999999,33.0,170.8944
11.0,21.0,11.1229,-15.0,148.65914999999998
11.0,22.0,14.477799999999998,-17.0,193.75029999999998
11.0,23.0,15.356,22.0,209.506
11.0,24.0,9.2814,21.0,127.39889999999998
11.0,25.0,11.8698,25.0,162.7423
11.0,26.0,10.6579,32.0,147.08165
11.0,27.0,8.713299999999998,4.0,118.02954999999999
11.0,28.0,11.8408,0.0,159.8508
11.0,29.0,8.8102,14.0,120.33770000000001
11.0,30.0,5.488300000000001,-16.0,72.49205000000002
11.0,31.0,6.26,1.0,84.60999999999999
11.0,32.0,9.8585,28.0,135.88975
11.0,33.0,6.389399999999999,29.0,89.1569
11.0,34.0,5.3789,-13.0,71.31515
11.0,35.0,5.2802,2.0,71.4827
11.0,36.0,7.9455,-1.0,107.16425000000001
